,company_name,best_match,best_score
5074,wisdomtree intrst rate hg us,,-1
5075,wisdomtree neg dur hig yld,,-1
5076,wisdomtree int rat hdg hi yl,,-1
5077,wisdomtree jpn int rate strg,,-1
5078,enlighta,,-1
5079,rice energy,,-1
5080,gl brands,,-1
5081,mobile lads,,-1
5082,laguna resources nl,,-1
5083,transport america -redh,,-1
5084,southern security life ins,,-1
5085,malibu boats,,-1
5086,middlefield us eq divi etf,,-1
5087,ndx growth & income,,-1
5088,bright mountain media,,-1
5089,dennys,,-1
5090,community finl group,,-1
5091,g-iii apparel group,,-1
5092,intra-cellular therapies,,-1
5093,summit bancshares/tx,,-1
5094,nephrogenex,,-1
5095,advanz pharma,,-1
5096,auspex pharmaceuticals,,-1
5097,sun bancorp,,-1
5098,chaparral gold,,-1
5099,aptalis -redh,,-1
5100,genocea biosciences,,-1
5101,giant industries,,-1
5102,great southern bancorp,,-1
5103,perma-pipe international hol,,-1
5104,phx minerals,,-1
5105,hancock j premium div,,-1
5106,telescan,,-1
5107,kaiser group,,-1
5108,ladder capital,,-1
5109,continental building prods,,-1
5111,sesen bio,,-1
5112,sincerity app mtrl -old,,-1
5113,emav,,-1
5114,cocrystal pharma,,-1
5115,firm capital apartment real,,-1
5117,revance therapeutics,,-1
5118,fortress trans infrastr invs,,-1
5119,first trust buywrite etf,,-1
5120,southside bancshares,,-1
5121,first trst hdgd buywrite etf,,-1
5122,first tr rising div achv,,-1
5123,av therapeutics,,-1
5124,revive therapeutics,,-1
5125,spdr mfs systematic core equ,,-1
5126,spdr mfs systematic grwth eq,,-1
5127,spdr mfs systematic value eq,,-1
5128,outfront media,,-1
5129,state bancorp/ny,,-1
5130,kinemed -redh,,-1
5131,flexion therapeutics,,-1
5132,installed bldg products,,-1
5133,one gas,,-1
5135,hess retail -spn,,-1
5136,vaneck shrt high yd muni etf,,-1
5137,powershares contrarian opps,,-1
5138,agrofresh solutions,,-1
5139,farmland partners,,-1
5140,microlin bio -redh,,-1
5141,fg financial group,,-1
5142,coastway bancorp,,-1
5143,horizons betapro msci jpn bu,,-1
5144,concert pharmaceuticls,,-1
5145,sterling financial,,-1
5146,sterling financial/wa,,-1
5147,telecom italia spa- old,,-1
5148,steuben trust hornell ny,,-1
5149,advisorshares sage core rsrv,,-1
5150,american capital sr fltg,,-1
5151,rbc quant cdn div leadrs etf,,-1
5152,rbc quant us div leaders etf,,-1
5153,rbc quant eafe div leaders,,-1
5154,rbc 1-5 yr laddered bd,,-1
5155,bpo management services/pa,,-1
5156,rio tinto group,,-1
5157,s & t bancorp,,-1
5158,gannett,,-1
5159,sse telecom,,-1
5160,hennessy capital acquisition,,-1
5161,tribune publishing,,-1
5162,time,,-1
5163,lands' end,,-1
5164,caretrust reit,,-1
5166,turtle beach,,-1
5167,rand capital,,-1
5168,rank group plc,,-1
5170,telmex-telefonos de mexico,,-1
5171,edgewater bancorp,,-1
5172,etf series vident core us eq,,-1
5173,direxion daily eur bull 3x,,-1
5174,cona resources,,-1
5175,starstream entertainment,,-1
5176,lendingclub,,-1
5177,sabre,,-1
5178,pimco divers incm active etf,,-1
5179,tower bancorp,,-1
5180,town & country financial cp,,-1
5181,pimco enhanced low dur activ,,-1
5182,toyota motor,,-1
5183,market vectors intl quality,,-1
5184,market vectors em mkts qual,,-1
5185,market vectors intl qual div,,-1
5186,market vectors em mkts q div,,-1
5187,xtrackers msci all world ex,,-1
5188,xtrackers msci south kore hg,,-1
5189,deutsche x-trkrs msci mx hdg,,-1
5190,direxion zacks mlp high incm,,-1
5191,fec resources,,-1
5192,unb/oh,,-1
5193,uni-select,,-1
5194,oxbridge re,,-1
5195,atlantic union bankshrs crp,,-1
5196,changing technologies,,-1
5197,neoleukin therapeutics,,-1
5198,achaogen,,-1
5199,resonant,,-1
5200,southern concepts restaurant,,-1
5201,biopharmx,,-1
5202,paylocity holding,,-1
5203,orbital,,-1
5204,wisdomtree flo rate tre,,-1
5205,ishares currency hg msci jpn,,-1
5206,ishares currency hg msci ger,,-1
5207,second bancorp,,-1
5208,ishares crrency hd msci eafe,,-1
5209,jdcom,,-1
5210,first tr alphadex eur div,,-1
5211,quotient technology,,-1
5212,ishares treas fltg rate bd,,-1
5213,ishares ibds sep 2019 muni,,-1
5214,investcorp crdt mngmt bdc,,-1
5215,magnite,,-1
5216,dipexium pharmaceuticals,,-1
5217,diamond s shiping gp -redh,,-1
5218,hepion pharmaceuticals,,-1
5219,exeo entertainment,,-1
5220,cardax,,-1
5221,antero midstream partners,,-1
5223,bioblast pharma,,-1
5224,castlight health,,-1
5225,advisorshares intl gold etf,,-1
5226,advisorshares gartmn gld/yen,,-1
5227,advisorshs gartman gold/euro,,-1
5228,advisorshares gartman gld/bp,,-1
5229,eagle pharmaceuticals,,-1
5230,intertain group,,-1
5231,cur media,,-1
5232,medisun precision medicine l,,-1
5233,umc,,-1
5234,corepoint lodging,,-1
5236,rimini street,,-1
5237,bmo msci eur hi qual hdg can,,-1
5238,u s home systems,,-1
5239,bmo s-term us ig bd hgd,,-1
5240,bmo msci eafe index etf,,-1
5241,bmo us high div covered call,,-1
5242,bmo floating rate hi yld etf,,-1
5243,bmo equal weight us bks indx,,-1
5244,bmo discount bond index etf,,-1
5245,first choice bancorp,,-1
5246,univest financial,,-1
5248,rejuvel bio-sciences,,-1
5249,anglogold ashanti,,-1
5250,success holding group intl,,-1
5251,borderfree,,-1
5252,aravive,,-1
5253,ci msci cdn low risk weightd,,-1
5254,ci msci wld low risk weightd,,-1
5255,valley high mining,,-1
5256,united dev funding iii,,-1
5257,smart & final stores,,-1
5259,staffing group,,-1
5261,city office reit,,-1
5262,inventrust properties,,-1
5263,flow capital,,-1
5264,veritiv,,-1
5266,w t b financial,,-1
5268,alps workplace equality prtf,,-1
5269,first trust gbl div seeker,,-1
5270,protea biosciences group,,-1
5271,washington tr bancorp,,-1
5272,king digital entertainment,,-1
5274,wayne bancorp/oh,,-1
5276,invesco int buyback achi etf,,-1
5277,spdr blmbrg brclys 0-5 yr tp,,-1
5278,ishares enh intl large-cap,,-1
5279,ishares enh intl small-cap,,-1
5280,westbank,,-1
5281,aerohive networks,,-1
5282,knight therapeutics,,-1
5283,grubhub,,-1
5284,wilber,,-1
5285,five9,,-1
5286,ikang healthcare group -adr,,-1
5287,opower,,-1
5288,williams controls,,-1
5289,corium international,,-1
5290,winter sports,,-1
5291,clone algo technologies,,-1
5292,cardinal resources,,-1
5293,triplepoint venture gwth bdc,,-1
5295,advisorshares yieldpro etf,,-1
5296,kbs real estate investment,,-1
5297,yadkin financial -old,,-1
5298,enlink midstream,,-1
5299,peeks social -old,,-1
5300,vitafort international cp,,-1
5301,fortune bay,,-1
5302,first tr am indl renaissance,,-1
5303,first trust drsy wrht mtm,,-1
5305,global x guru sm cp indx etf,,-1
5306,coastal caribbean oils&minl,,-1
5307,global x guru intl index etf,,-1
5309,lifschultz inds,,-1
5310,mego financial,,-1
5311,cambria global value etf,,-1
5312,spdr barclay intl hgh yld bd,,-1
5313,pope resources/de,,-1
5314,creative media & com tr,,-1
5315,applied genetic technologies,,-1
5316,oneroof energy group,,-1
5317,sixth street specialty lendi,,-1
5318,algo group -cl a,,-1
5319,automodular,,-1
5320,energous,,-1
5321,patheon nv,,-1
5322,aecon group,,-1
5323,mediwound,,-1
5324,amber road,,-1
5325,atlanta gold,,-1
5326,progressive green solutions,,-1
5327,aurizon mines,,-1
5328,medpace,,-1
5329,avcorp industries,,-1
5330,k2m group,,-1
5331,weibo,,-1
5332,berlitz international,,-1
5333,dundee precious metls -cl a,,-1
5334,leju -adr,,-1
5335,agile therapeutics,,-1
5336,timkensteel,,-1
5337,nuveen mun advantage fd,,-1
5338,aldeyra therapeutics,,-1
5339,cvb financial,,-1
5340,civeo,,-1
5341,aztar,,-1
5342,ccbt financial companies,,-1
5343,capital southwest,,-1
5344,alder biopharmaceuticals,,-1
5345,advanced envir recycl -cl a,,-1
5346,signal genetics,,-1
5347,scynexis,,-1
5348,tarena intl -adr,,-1
5350,presbia plc,,-1
5351,bgsf,,-1
5352,grandetel technologies,,-1
5353,chell group,,-1
5354,rhc capital-old,,-1
5355,queenston mining,,-1
5356,redcorp ventures,,-1
5357,harbor brewing,,-1
5358,first real estate tr nj,,-1
5359,evergreen resources,,-1
5360,electrochemical ind (1952),,-1
5361,first tr new opp mlp &energy,,-1
5362,intercontinental hotels grp,,-1
5363,nuveen all cap energy mlp op,,-1
5364,stack-it storage -old,,-1
5365,petvivo,,-1
5366,maf bancorp,,-1
5367,ariosa diagnostics-redh,,-1
5368,proshares dj brookfield glbl,,-1
5369,box,,-1
5370,terminix global,,-1
5371,tubemogul,,-1
5372,canopy growth,,-1
5373,century south bks,,-1
5374,alps emerg sector div dogs,,-1
5375,fs kkr capital,,-1
5376,capital city bk group,,-1
5377,zoe's kitchen,,-1
5378,phibro animal health,,-1
5379,paycom software,,-1
5380,quintana shipping -redh,,-1
5381,blackcraft cult,,-1
5382,lumena pharmaceuticals -redh,,-1
5383,perk international -old,,-1
5384,advanced drainage systems,,-1
5385,cheetah mobile -adr,,-1
5386,materialise nv -adr,,-1
5387,atlantica sustainable infra,,-1
5388,trivascular technologies,,-1
5389,medite cancer diagnostics,,-1
5391,quotient,,-1
5392,american realty cap hlthcr,,-1
5393,lumenpulse,,-1
5394,carecloud,,-1
5395,grilli property group,,-1
5396,superior drilling products,,-1
5397,cengage learning hldgs ii,,-1
5398,mid atlantic medical svcs,,-1
5399,wisdomtree jpn hdgd finls,,-1
5400,wisdomtree jpn hdgd real est,,-1
5401,wisdomtree jpn hdgd cap good,,-1
5402,wisdomtree jpn hdgd hlthcr,,-1
5403,wisdomtree jpn hdgd tech med,,-1
5404,memorial resource dev,,-1
5405,tuniu -adr,,-1
5406,gaslog partners,,-1
5407,arete industries,,-1
5408,stalwart tankers -redh,,-1
5409,cerulean pharma,,-1
5410,scotts miracle-gro,,-1
5411,new germany,,-1
5412,civic bancorp,,-1
5413,hauser,,-1
5414,luxottica group spa,,-1
5415,tikal resources,,-1
5416,transcend,,-1
5417,iconix brand group,,-1
5418,arc wireless solutions,,-1
5419,enerplus,,-1
5420,starinvest group,,-1
5421,postrock energy,,-1
5422,vapor group -old,,-1
5423,primex forest products,,-1
5424,minerva neurosciences,,-1
5425,direxion daily gold bull 3x,,-1
5426,catalent,,-1
5428,nw18 hsn plc -redh,,-1
5429,red lobster seafood -spn,,-1
5432,barrington petroleum,,-1
5433,now,,-1
5434,california coastal cmntys,,-1
5435,bema gold,,-1
5436,cascadian therapeutics,,-1
5437,central sun mining,,-1
5438,orbus pharma,,-1
5439,bracknell,,-1
5440,brampton brick -cl a,,-1
5441,waterloo brewing,,-1
5442,cfs group,,-1
5443,chc group,,-1
5444,development capital group,,-1
5445,cabre exploration,,-1
5446,caldwell partners intl,,-1
5447,turnkey capital old,,-1
5448,canada trust income invts,,-1
5449,canadex resources,,-1
5450,opus bank,,-1
5451,foremost income,,-1
5452,new york reit,,-1
5453,osisko mining,,-1
5454,canadian manoir inds,,-1
5455,canadian western bank,,-1
5456,heron lake bioenergy,,-1
5457,i-flow,,-1
5458,lnb bancorp,,-1
5459,parsley energy,,-1
5460,live oak bancshares,,-1
5461,cathedral energy svcs,,-1
5462,river gold mines,,-1
5463,chai na ta,,-1
5464,le chateau -cl b,,-1
5465,angion biomedica,,-1
5466,cinram intl income,,-1
5467,zoosk-redh,,-1
5468,vyrix pharmaceuticals-redh,,-1
5470,cogeco -sub vtg,,-1
5471,zedi,,-1
5472,bonterra energy,,-1
5473,taggares agriculture cp-redh,,-1
5474,principal maritime tnkr-redh,,-1
5475,mobileiron,,-1
5476,jumei intl holding -adr,,-1
5477,dance biopharm-redh,,-1
5478,ibex technologies,,-1
5479,egshares blue chip etf,,-1
5480,contrans -cl a,,-1
5481,slate grocery reit,,-1
5482,primo water,,-1
5483,street capital group,,-1
5484,callidus capital,,-1
5485,ishares msci europe imi idx,,-1
5486,crown life insurance,,-1
5487,washington prime group,,-1
5488,dxi capital,,-1
5489,anthem united,,-1
5490,pulse evolution,,-1
5491,epic data international,,-1
5492,ishares yield optimized bond,,-1
5493,gold eagle mines,,-1
5495,ft capital,,-1
5496,glori energy,,-1
5497,ishares msci eu imi cad-hdg,,-1
5498,papa murphy's,,-1
5499,chukong -adr -redh,,-1
5500,eagle precision tech,,-1
5501,ares management,,-1
5502,ulthera -redh,,-1
5503,eastmain resources,,-1
5504,economic investment tr,,-1
5505,orion engineered carbons sa,,-1
5506,foster's group,,-1
5507,heritage insurance,,-1
5508,caesars entertainment,,-1
5509,slm,,-1
5510,glendale international,,-1
5511,fst australia prim incm invt,,-1
5512,first calgary petroleums,,-1
5513,goldstake explorations,,-1
5514,bankers petroleum,,-1
5515,gwg,,-1
5516,nexus group intl,,-1
5517,purpose duration hgd rl est,,-1
5518,purpose tactical hdgd eq non,,-1
5519,xtrackers msci all china equ,,-1
5520,gulfstream resources cda,,-1
5521,middlefield bancorp,,-1
5522,purpose best ideas,,-1
5523,hammond mfg -cl a,,-1
5524,hart stores,,-1
5525,deutsche x-trkrs solactive,,-1
5526,invesco variable rate prefer,,-1
5527,fnx mining,,-1
5528,ishares msci qatar cappd etf,,-1
5529,ishares msci uae capped etf,,-1
5530,apptigo international,,-1
5531,defiance mining,,-1
5532,westlake chemical prtnrs,,-1
5533,guardian cap grp -cl a,,-1
5534,metropolitan life insurance,,-1
5535,preo software,,-1
5536,integrity gaming,,-1
5537,proteinsimple-redh,,-1
5538,firan technology group,,-1
5539,high river gold mines,,-1
5540,hillsborough resources,,-1
5541,home capital group -cl b,,-1
5542,golden star resources,,-1
5543,hy & zel's,,-1
5544,biochem pharma,,-1
5545,ambrx-redh,,-1
5546,cedara software,,-1
5547,goldfarb -cl a,,-1
5548,atento sa,,-1
5549,nac global technologies -old,,-1
5550,bakbone software,,-1
5551,imperial metals,,-1
5552,rayonier advanced materials,,-1
5553,wisdomtree eur qlty div grw,,-1
5555,wisdomtree intl hgd qlty div,,-1
5556,montage resources,,-1
5557,markit,,-1
5558,limbach,,-1
5559,rapid link -old,,-1
5560,brighthouse life insurnce,,-1
5561,inventronics,,-1
5562,airboss america,,-1
5563,zhaopin -adr,,-1
5564,eastern platinum,,-1
5565,alibaba group,,-1
5566,horizons cdn select unv bd,,-1
5567,viper energy partners,,-1
5568,nexient learning,,-1
5569,jp energy partners,,-1
5571,truecar,,-1
5572,fomo,,-1
5573,coterra energy,,-1
5574,alcentra capital,,-1
5575,nanovibronix,,-1
5576,netcurrents info svcs,,-1
5577,linamar,,-1
5578,logistec,,-1
5579,marinus pharmaceuticals,,-1
5580,tahera diamond,,-1
5581,mdc partners,,-1
5582,micc investments,,-1
5583,travelbyuscom,,-1
5584,macmillan gold,,-1
5585,equisure finl network,,-1
5586,caspian energy,,-1
5587,marks work wearhouse,,-1
5588,harrison vickers & waterman,,-1
5589,nutralife biosciences,,-1
5590,mentor exploration & dev,,-1
5591,battle mountain gold,,-1
5592,novagold resources,,-1
5593,metalore resources,,-1
5594,vaneck merk gold trust,,-1
5595,nu gro,,-1
5596,first trust managed muni etf,,-1
5597,zs pharma,,-1
5598,nuinsco resources,,-1
5599,good technology -redh,,-1
5600,score media,,-1
5601,opawica explorations,,-1
5602,nexeo solutions,,-1
5603,dermtech,,-1
5604,printera,,-1
5605,investar holding,,-1
5606,moneta gold,,-1
5607,cunningham lindsey grp,,-1
5608,multibanc nt financial,,-1
5609,petrofund energy trust,,-1
5611,gopro,,-1
5612,ardelyx,,-1
5613,orvana minerals,,-1
5615,newalta,,-1
5616,drug royalty,,-1
5617,denbury,,-1
5618,parnell pharmaceutical hldgs,,-1
5619,nextera energy partners,,-1
5620,noble china,,-1
5621,golden growers cooperative,,-1
5622,amphastar pharmaceuticls,,-1
5623,windstream technologies,,-1
5624,vectrus,,-1
5625,xtrackers harvest csi 500 ch,,-1
5626,goran capital,,-1
5627,pan american silver,,-1
5628,adeptus health,,-1
5629,sorrento tech,,-1
5630,paramount resources,,-1
5631,first,,-1
5632,pe ben oilfield,,-1
5633,pengrowth energy,,-1
5634,obsidian energy,,-1
5635,synchrony financial,,-1
5636,pfb,,-1
5637,kimball electronics,,-1
5638,northstar asset mgmt grp,,-1
5639,garnero group acquisition,,-1
5640,precision drilling,,-1
5642,liberty tripadvisor,,-1
5643,pub storage cdn pty,,-1
5644,burnstone ventures,,-1
5645,queenstake res yukon,,-1
5646,prairiesky royalty,,-1
5647,ishares int rate hdgd cp bd,,-1
5648,ishares int rate hdgd hi yld,,-1
5649,ishares ibonds dec 2018 trm,,-1
5650,ishares ibonds dec 2016 trm,,-1
5651,relmada therapeutics,,-1
5652,richmont mines,,-1
5653,stratos global,,-1
5654,invesco multi-strtgy alt etf,,-1
5655,rio alto exploration,,-1
5656,clairvest group,,-1
5657,goldstone resources,,-1
5658,fuse medical -old,,-1
5659,srx post,,-1
5660,st andrew goldfields,,-1
5661,sterling centrecorp cda,,-1
5662,terraform power,,-1
5663,via renewables,,-1
5664,zafgen,,-1
5665,sceptre investment counsel,,-1
5667,arista networks,,-1
5668,slocan forest products,,-1
5669,ishares edge msci minvol xjp,,-1
5670,matinas biopharma hldgs,,-1
5671,questfire energy,,-1
5672,united dev funding iv,,-1
5673,southern platinum,,-1
5674,ishares edge msci minvol eur,,-1
5675,ishares edge msci minvol jpn,,-1
5676,spdr euro stoxx small cp etf,,-1
5677,spdr msci eafe strategicfact,,-1
5678,spdr msci em mkts strategicf,,-1
5679,spdr msci world strategicfac,,-1
5680,latitude 360,,-1
5681,sweegen,,-1
5683,readers digest assn,,-1
5684,seligman select mun fd,,-1
5685,iitc,,-1
5686,stationdigital,,-1
5687,blackstone mortgage tr,,-1
5688,pfenex,,-1
5689,telepanel systems,,-1
5690,kinaxis,,-1
5691,q therapeutics -redh,,-1
5692,beverly financial -redh,,-1
5693,third cdn gen invt tr,,-1
5694,timminco,,-1
5695,inventergy global,,-1
5696,tiverton petroleums -cl a,,-1
5697,a & e capital funding,,-1
5698,gabelli gbl sm & mid cap val,,-1
5699,healthequity,,-1
5700,simmonds capital,,-1
5701,tyler resources,,-1
5702,uts energy,,-1
5703,urbana,,-1
5704,ishares core msci europe etf,,-1
5705,ishares core msci pacific,,-1
5706,viceroy homes,,-1
5707,ishares core div growth etf,,-1
5708,vitran,,-1
5709,ishares core total usd bond,,-1
5710,westfort energy,,-1
5711,moydow mines intl,,-1
5712,spdr msci aus strategicfactr,,-1
5713,spdr solactive canada etf,,-1
5714,win-eldrich mines,,-1
5715,windarra minerals,,-1
5716,winpak,,-1
5717,spdr solactive germany etf,,-1
5718,spdr solactive japan etf,,-1
5719,spdr msci spain strategicfac,,-1
5720,stroud resources,,-1
5721,summit resources,,-1
5722,spdr solactive untd kngm etf,,-1
5723,x-cal resources,,-1
5724,synex renewable energy,,-1
5725,yorbeau resources -cl a,,-1
5726,akela pharma,,-1
5727,lassonde industries-cl a,,-1
5728,preferred restaurant brands,,-1
5729,imprivata,,-1
5730,virtualfundcom,,-1
5731,ketch resources trust,,-1
5732,jps industries,,-1
5735,boston restaurant assoc,,-1
5737,aberdeen indonesia,,-1
5738,teppco partners,,-1
5740,ctrl eur russia & turkey fd,,-1
5741,blue hills bancorp,,-1
5742,jpmorgan divrsfd ret glbl eq,,-1
5743,journey energy,,-1
5744,canlan ice sports,,-1
5745,clickstream,,-1
5746,trupanion,,-1
5747,atd-redh,,-1
5750,shell midstream partners,,-1
5751,iradimed,,-1
5752,mobileye nv,,-1
5753,vtti energy partnrs,,-1
5754,innocoll plc,,-1
5755,silenseed -redh,,-1
5756,plymouth indl reit,,-1
5757,cannae,,-1
5758,anterix,,-1
5759,goldman sachs us builder,,-1
5760,euro banc capl securities tr,,-1
5761,paragon offshore plc,,-1
5762,bre select hotels,,-1
5764,universal express,,-1
5765,golf entertainment,,-1
5766,pinebridge invt grd pfd sec,,-1
5768,pounce technologies,,-1
5769,first tr short durn hi yield,,-1
5770,helius medical technologies,,-1
5771,cyberark software,,-1
5772,zosano pharma,,-1
5773,lantheus,,-1
5774,macrocure,,-1
5775,intersect,,-1
5777,immune design,,-1
5778,transocean partners,,-1
5779,armada water assets -redh,,-1
5780,atara biotherapeutics,,-1
5781,terrapin 3 acquisition,,-1
5782,ocular therapeutix,,-1
5783,loxo oncology,,-1
5784,yodlee,,-1
5785,brightsphere invest grp,,-1
5786,adverum biotechnologies,,-1
5787,mapi - pharma -redh,,-1
5788,viamet pharmaceuticals -redh,,-1
5789,victoryshrs us eq inm enh vo,,-1
5790,victoryshares us 500 enh vol,,-1
5791,victoryshares us 500 vol wtd,,-1
5792,viking therapeutics,,-1
5793,t2 biosystems,,-1
5794,rumbleon,,-1
5795,surge components,,-1
5796,akoustis technologies,,-1
5797,asia equity exchange gp -old,,-1
5798,albea sa-redh,,-1
5799,diplomat pharmacy,,-1
5800,hoegh lng partners,,-1
5801,idreamsky technology -adr,,-1
5802,empire energy hldgs-redh,,-1
5803,vanguard ftse glbl cap excda,,-1
5804,vanguard us agg bd idx cda h,,-1
5805,vanguard glbl ex u s agg bd,,-1
5806,grow capital,,-1
5807,vanguard ftse dev as pac acp,,-1
5808,vanguard ftse dev euro allcp,,-1
5809,delphi financial group,,-1
5810,japan small cap,,-1
5811,medical nutrition usa,,-1
5812,ishares global reit etf,,-1
5813,ishares curr hdg msci eurozn,,-1
5814,advisorshrs mkt adptv uncnst,,-1
5815,monogram residential trust,,-1
5816,digiliti money group,,-1
5817,state national cos,,-1
5818,mabvax therapeutics hldgs,,-1
5819,vantage energy-redh,,-1
5820,yodle -redh,,-1
5821,rewalk robotics,,-1
5823,calamos focus growth etf,,-1
5824,sunshine bancorp,,-1
5825,horizons pipelns & enrgy etf,,-1
5826,adm tronics unlimited/de,,-1
5827,accelerate diagnostics,,-1
5828,sprott gold miners etf,,-1
5829,el pollo loco,,-1
5830,epirus biopharmaceuticals,,-1
5831,fibrocell science,,-1
5832,american bio medica,,-1
5833,rightside group,,-1
5835,applied innovation,,-1
5836,otonomy,,-1
5837,mol global -adr,,-1
5838,intrawest,,-1
5839,asterias biotherapeutics,,-1
5840,tnsb group,,-1
5841,sixx,,-1
5842,acuityads,,-1
5843,ishares st high qual cdn bd,,-1
5844,geneva steel,,-1
5845,summit financial,,-1
5846,invesco ldrt us 0-5 yr cr,,-1
5847,invesco 1-3 yr ladrd flt rt,,-1
5848,vpgi,,-1
5849,independence contract drllng,,-1
5850,american pacific bank -cl b,,-1
5851,new ireland,,-1
5852,newage,,-1
5853,medicis pharmaceut cp -cl a,,-1
5854,medizone intl,,-1
5855,808 renewable energy,,-1
5856,merchants financial group,,-1
5857,mbt bancshares,,-1
5858,ytb international,,-1
5859,first trust gbl risk mangd,,-1
5860,syntellect,,-1
5861,manulife us regional bank tr,,-1
5862,sino mercury acquisition cp,,-1
5863,altamira therapeutics,,-1
5864,vascular biogenics,,-1
5865,first tr drsy wrt intl foc 5,,-1
5866,vaneck vectors chinaamc sme,,-1
5867,golden queen mining cons,,-1
5868,intl airline support group,,-1
5869,petro-victory energy,,-1
5870,contrafect,,-1
5871,uscorp,,-1
5872,liberty broadband,,-1
5873,ntn buzztime,,-1
5874,nord pacific,,-1
5875,tekla healthcare opptys,,-1
5876,tetra technologies/de,,-1
5878,china green agriculture,,-1
5879,direxion dly 7-10yr tr bu 2x,,-1
5880,direxion dly mid cap bull 2x,,-1
5881,matria healthcare,,-1
5882,direxion daily sm cap bull2x,,-1
5883,american educational product,,-1
5884,virgin america,,-1
5885,panbela therapeutics,,-1
5886,byl bancorp,,-1
5887,uge international,,-1
5888,advisorshs tr athena hi div,,-1
5889,transfirst hldgs-redh,,-1
5891,airborne wireless network,,-1
5892,direxion ibillionaire index,,-1
5893,krauses furniture,,-1
5894,focus universal,,-1
5895,victory sha us disry enh vol,,-1
5896,rica foods,,-1
5897,intl market centrs -redh,,-1
5898,baymark technologies,,-1
5899,prism software,,-1
5900,chartwell intl,,-1
5901,proshares cds sh na hy credt,,-1
5902,proshares cds lng na hy crdt,,-1
5903,obocon,,-1
5904,mapan energy,,-1
5905,first trust enhanced sht mat,,-1
5906,green bancorp,,-1
5907,amern architectural pds,,-1
5908,sulliden mining capital,,-1
5909,ram venture,,-1
5910,onyx,,-1
5911,avanos medical,,-1
5912,jakarta growth,,-1
5914,tokai pharmaceuticals,,-1
5915,savannah bancorp,,-1
5916,axar acquisition,,-1
5917,santander uk plc,,-1
5920,university bancorp,,-1
5921,advanced viral research,,-1
5922,invesco muni income opp iii,,-1
5923,blackrock advantage term tr,,-1
5924,craftmade international,,-1
5925,crown butte resources,,-1
5926,granite construction,,-1
5927,california resources,,-1
5928,ridgefield acquisition,,-1
5929,zayo group,,-1
5930,ab holding group,,-1
5931,caterpillar financial svcs,,-1
5932,landstar system,,-1
5933,cnova nv,,-1
5934,forward pharma a/s -adr,,-1
5935,fairwood,,-1
5936,first trust high s f etf,,-1
5938,jmar technologies,,-1
5939,blackrock europe,,-1
5940,orbital sciences,,-1
5941,ishares ibds sep 2020 muni,,-1
5942,paulson capital,,-1
5943,kemper/de,,-1
5944,cone mills,,-1
5945,amer biogenetic sci -cl a,,-1
5946,armanino foods distinction,,-1
5947,actv,,-1
5948,aspect communications,,-1
5949,jemi fibre,,-1
5950,high rock cdn high yield bd,,-1
5951,leucrotta exploration,,-1
5952,univar solutions,,-1
5953,ashworth,,-1
5954,corindus vascular robotics,,-1
5955,citizens financial svcs,,-1
5956,vyne therapeutics,,-1
5957,proqr therapeutics nv,,-1
5958,community bancorp/vt,,-1
5959,product shipping -redh,,-1
5960,proshares msci eafe div grwr,,-1
5961,wayfair,,-1
5962,aaon,,-1
5963,medley management,,-1
5964,creative realities,,-1
5965,e prime aerospace,,-1
5966,earth search sciences,,-1
5967,china indl waste management,,-1
5968,electronic system tech,,-1
5969,enercorp,,-1
5970,robogroup tek,,-1
5971,enumeral biomedical hldgs,,-1
5972,organigram,,-1
5973,wbi bullbear risng incm 2000,,-1
5974,wbi bullbear value 2000 etf,,-1
5975,wbi bullbear yield 2000 etf,,-1
5976,wbi bullbear qualty 2000 etf,,-1
5977,wbi bullbear value 3000 etf,,-1
5978,wbi bullbear yield 3000 etf,,-1
5979,wbi bullbear qualty 3000 etf,,-1
5980,civista bancshares,,-1
5981,wbi bullbear global incm etf,,-1
5982,vist financial,,-1
5983,accessity,,-1
5984,wbi bullbear globl high incm,,-1
5985,dt asia investments,,-1
5986,rhythm pharmaceuticls,,-1
5987,paramount group,,-1
5988,great western bancorp,,-1
5989,dermira,,-1
5990,jaguar animal health-old,,-1
5991,civitas therapeutics -redh,,-1
5992,neurosigma -redh,,-1
5993,vivint solar,,-1
5994,calithera biosciences,,-1
5995,usd partners,,-1
5996,enovation controls -redh,,-1
5997,store capital,,-1
5998,veritex,,-1
5999,affimed nv,,-1
6000,flexshares disciplined dur,,-1
6001,net zero renewable enrgy,,-1
6002,cnx midstream partners,,-1
6003,orchestra therapeutics,,-1
6004,wavedancer,,-1
6005,renaissance oil,,-1
6006,airtech international group,,-1
6007,first trust long/sh eqty etf,,-1
6008,endostim -redh,,-1
6009,bsml,,-1
6010,eastwood bio-medical cda,,-1
6011,jlm couture,,-1
6012,greenshift,,-1
6013,invesco s&p emerging mkt vlt,,-1
6014,invesco s&p intl devlp vol,,-1
6015,atrix laboratories,,-1
6016,acr group,,-1
6017,emerald health therapeutics,,-1
6018,amer resources & devlpmnt,,-1
6019,fifth street asset mgmt,,-1
6020,jordan industries,,-1
6021,first asset active cdn reit,,-1
6022,ci active canadian dividend,,-1
6023,nuveen mun mkt opportnty fd,,-1
6024,pak mail cntrs america,,-1
6025,luckwel pharmaceuticals,,-1
6026,invesco ladderrite 0-5 y etf,,-1
