,company_name,best_match,best_score
2773,silicon graphics,silicon graphics,100
2784,geokinetics,geokinetics,100
2792,bravo,bravo,100
2819,gigamon,gigamon,100
2847,quiksilver,quiksilver,100
2848,icad,icad,100
2871,lowrance electronics,lowrance electronics,100
2962,organogenesis,organogenesis,100
2992,komag,komag,100
2996,sorrento networks,sorrento networks,100
2997,mark,mark,100
3012,cadence design systems,cadence design systems,100
3021,level 3 communications,level 3 communications,100
3024,oppenheimer,oppenheimer,100
3060,thales,thales,100
3074,celgene,celgene,100
3109,dentsply sirona,dentsply sirona,100
3117,zoetis,zoetis,100
3296,maxim integrated products,maxim integrated products,100
3317,polaris,polaris,100
3386,playtex products,playtex products,100
3406,teva pharmaceuticals,teva pharmaceuticals,100
3440,novellus systems,novellus systems,100
3442,phoenix technologies,phoenix technologies,100
3553,concord camera,concord camera,100
3588,3d systems,3d systems,100
3592,aura systems,aura systems,100
3593,noven pharmaceuticals,noven pharmaceuticals,100
3639,goldcorp,goldcorp,100
3669,beckman coulter,beckman coulter,100
3729,epolin,epolin,100
3747,akzo nobel nv,akzo nobel nv,100
3799,brown & brown,brown & brown,100
3809,emisphere technologies,emisphere technologies,100
3868,allergan,allergan,100
3878,4-d neuroimaging,4-d neuroimaging,100
3916,abbvie,abbvie,100
3940,enanta pharmaceuticals,enanta pharmaceuticals,100
3948,cirrus logic,cirrus logic,100
3951,ruckus wireless,ruckus wireless,100
4064,northeast bank,northeast bank,100
4076,electronic arts,electronic arts,100
4167,sphere 3d,sphere 3d,100
4322,spectra7 microsystems,spectra7 microsystems,100
4337,basf se,basf se,100
4366,csr,csr,100
4473,epizyme,epizyme,100
4515,portola pharmaceuticals,portola pharmaceuticals,100
4538,bluebird bio,bluebird bio,100
4584,laserscope,laserscope,100
4676,precigen,precigen,100
4689,vixs systems,vixs systems,100
4720,five prime therapeutics,five prime therapeutics,100
4750,acceleron pharma,acceleron pharma,100
4774,obsidian,obsidian,100
4775,applied optoelectronics,applied optoelectronics,100
4794,celator pharmaceuticals,celator pharmaceuticals,100
4804,ringcentral,ringcentral,100
4826,veeva systems,veeva systems,100
4850,walker innovation,walker innovation,100
4893,twitter,twitter,100
4972,mitsubishi electric,mitsubishi electric,100
5034,capricor therapeutics,capricor therapeutics,100
5063,siemens ag,siemens ag,100
5134,knowles,knowles,100
5165,cymabay therapeutics,cymabay therapeutics,100
5169,mphase technologies,mphase technologies,100
5247,nct group,nct group,100
5265,akebia therapeutics,akebia therapeutics,100
5308,multicell technologies,multicell technologies,100
5349,adamas pharmaceuticals,adamas pharmaceuticals,100
5427,zendesk,zendesk,100
5430,keysight technologies,keysight technologies,100
5469,northern power systems,northern power systems,100
5610,kite pharma,kite pharma,100
5666,tesco,tesco,100
5682,cisco systems,cisco systems,100
5734,aerovox,aerovox,100
5736,hologic,hologic,100
5739,cannlabs,cannlabs,100
5748,nbcuniversal media,nbcuniversal media,100
5767,varco international,varco international,100
5776,tobira therapeutics,tobira therapeutics,100
5834,american technologies group,american technologies group,100
6043,merit medical systems,merit medical systems,100
6070,ann,ann,100
6108,fibrogen,fibrogen,100
6113,nevro,nevro,100
6267,xilinx,xilinx,100
6410,trimble,trimble,100
6495,godaddy,godaddy,100
6505,vital signs,vital signs,100
6512,arcadia biosciences,arcadia biosciences,100
6562,inuvo,inuvo,100
6588,xbiotech,xbiotech,100
6599,aduro biotech,aduro biotech,100
6630,ritter pharmaceuticals,ritter pharmaceuticals,100
6675,collegium pharmaceutical,collegium pharmaceutical,100
6695,cygnus,cygnus,100
6727,zilog,zilog,100
6772,philip,philip,100
6773,regeneron pharmaceuticals,regeneron pharmaceuticals,100
6788,babcock & wilcox,babcock & wilcox,100
6810,pmc-sierra,pmc-sierra,100
6825,united states steel,united states steel,100
6841,medimmune,medimmune,100
6847,ionis pharmaceuticals,ionis pharmaceuticals,100
6861,conformis,conformis,100
6898,natera,natera,100
6900,genelabs technologies,genelabs technologies,100
6906,medarex,medarex,100
6916,intl specialty products,intl specialty products,100
6934,teladoc health,teladoc health,100
6937,big heart pet brands,big heart pet brands,100
6953,vertex pharmaceuticals,vertex pharmaceuticals,100
7014,biogen,biogen,100
7015,sepracor,sepracor,100
7035,rapid7,rapid7,100
7040,vtv therapeutics,vtv therapeutics,100
7049,salton,salton,100
7075,paypal,paypal,100
7166,qualcomm,qualcomm,100
7186,amylin pharmaceuticals,amylin pharmaceuticals,100
7194,gilead sciences,gilead sciences,100
7205,pdl biopharma,pdl biopharma,100
7256,synopsys,synopsys,100
7342,bell sports,bell sports,100
7375,valence technology,valence technology,100
7392,boston scientific,boston scientific,100
7436,global blood therapeutics,global blood therapeutics,100
7438,arrow international,arrow international,100
7493,dynegy,dynegy,100
7529,zoll medical,zoll medical,100
7543,spectrum signal processing,spectrum signal processing,100
7610,pure storage,pure storage,100
7615,pace,pace,100
7623,mcafee,mcafee,100
7633,gtech,gtech,100
7665,minerals technologies,minerals technologies,100
7671,uluru,uluru,100
7724,shfl entertainment,shfl entertainment,100
7800,cytomx therapeutics,cytomx therapeutics,100
7829,hewlett packard enterprise,hewlett packard enterprise,100
7848,adesto technologies,adesto technologies,100
7924,xtera communications,xtera communications,100
7928,armstrong flooring,armstrong flooring,100
8071,acacia communications,acacia communications,100
8074,nutanix,nutanix,100
8111,gcp applied technologies,gcp applied technologies,100
8202,eiger biopharmaceuticals,eiger biopharmaceuticals,100
8339,selecta biosciences,selecta biosciences,100
8464,cell genesys,cell genesys,100
8470,nautilus,nautilus,100
8577,microchip technology,microchip technology,100
8632,everspin technologies,everspin technologies,100
8673,hemosol,hemosol,100
8701,howmet aerospace,howmet aerospace,100
8703,jabil,jabil,100
8722,catalyst semiconductor,catalyst semiconductor,100
8723,medisys technologies,medisys technologies,100
8947,conductus,conductus,100
8962,conduent,conduent,100
8974,borgwarner,borgwarner,100
9049,oroamerica,oroamerica,100
9057,allied,allied,100
9090,varex imaging,varex imaging,100
9133,palatin technologies,palatin technologies,100
9151,incyte,incyte,100
9154,itron,itron,100
9198,viavi solutions,viavi solutions,100
9204,axys pharmaceuticals,axys pharmaceuticals,100
9217,atmi,atmi,100
9236,human genome sciences,human genome sciences,100
9242,ati technologies,ati technologies,100
9245,parkervision,parkervision,100
9254,gateway,gateway,100
9272,triquint semiconductor,triquint semiconductor,100
9276,eastman chemical,eastman chemical,100
9287,endra life sciences,endra life sciences,100
9330,cytec industries,cytec industries,100
9412,igen,igen,100
9432,sonic solutions,sonic solutions,100
9611,ingersoll rand,ingersoll rand,100
9629,nektar therapeutics,nektar therapeutics,100
9689,nps pharmaceuticals,nps pharmaceuticals,100
9715,consolidated graphics,consolidated graphics,100
9851,ariad pharmaceuticals,ariad pharmaceuticals,100
9867,metrologic instruments,metrologic instruments,100
9877,drucker,drucker,100
9987,ncs multistage,ncs multistage,100
10157,smc,smc,100
10160,cox communications,cox communications,100
10178,semitool,semitool,100
10180,integrated silicon solution,integrated silicon solution,100
10232,global technologies,global technologies,100
10352,harmonic,harmonic,100
10446,molecular templates,molecular templates,100
10447,nexeon medsystems,nexeon medsystems,100
10535,switch,switch,100
10593,bandwidth,bandwidth,100
10780,leo,leo,100
10858,dropbox,dropbox,100
10968,nlight,nlight,100
11038,translate bio,translate bio,100
11044,electrocore,electrocore,100
11060,veoneer,veoneer,100
11121,sonos,sonos,100
11236,guardant health,guardant health,100
11271,allogene therapeutics,allogene therapeutics,100
11579,shockwave medical,shockwave medical,100
11589,precision biosciences,precision biosciences,100
11663,alcon,alcon,100
11672,uber technologies,uber technologies,100
11914,igm biosciences,igm biosciences,100
11915,10x genomics,10x genomics,100
11959,progyny,progyny,100
12014,sitime,sitime,100
12103,arconic,arconic,100
12450,berkeley lights,berkeley lights,100
12618,asana,asana,100
12821,medavail,medavail,100
12864,luminar technologies,luminar technologies,100
13072,butterfly network,butterfly network,100
13139,diversey,diversey,100
13173,neuropace,neuropace,100
13211,tusimple,tusimple,100
13304,femasys,femasys,100
13345,codex dna,codex dna,100
13470,absci,absci,100
13474,rxsight,rxsight,100
13675,ginkgo bioworks,ginkgo bioworks,100
13731,velo3d,velo3d,100
13745,xilio therapeutics,xilio therapeutics,100
13747,rivian automotive,rivian automotive,100
13751,globalfoundries,globalfoundries,100
13973,dish network,dish network,100
14003,wabtec,wabtec,100
14057,windtree therapeutics,windtree therapeutics,100
14074,kforce,kforce,100
14095,euphonix,euphonix,100
14111,smith micro software,smith micro software,100
14141,ess technology,ess technology,100
14144,myriad genetics,myriad genetics,100
14183,specialized health products,specialized health products,100
14192,opko health,opko health,100
14194,milestone scientific,milestone scientific,100
14222,estee lauder companies,estee lauder companies,100
14223,amanda,amanda,100
14230,headwaters,headwaters,100
14239,netapp,netapp,100
14240,silicon storage technology,silicon storage technology,100
14263,novavax,novavax,100
14264,accelrys,accelrys,100
14278,nuance communications,nuance communications,100
14311,impax laboratories,impax laboratories,100
14366,nice,nice,100
14402,speedus,speedus,100
14444,neose technologies,neose technologies,100
14461,21st century technologies,21st century technologies,100
14481,alexion pharmaceuticals,alexion pharmaceuticals,100
14508,cytyc,cytyc,100
14551,galagen,galagen,100
14596,lucent technologies,lucent technologies,100
14610,loral space & communications,loral space & communications,100
14638,heartport,heartport,100
14664,millennium pharmaceuticals,millennium pharmaceuticals,100
14678,onyx pharmaceuticals,onyx pharmaceuticals,100
14688,essential therapeutics,essential therapeutics,100
14701,avigen,avigen,100
14706,neurocrine biosciences,neurocrine biosciences,100
14732,affymetrix,affymetrix,100
14772,ansys,ansys,100
14871,geron,geron,100
14877,cambridge heart,cambridge heart,100
14908,bae systems plc,bae systems plc,100
14931,microvision,microvision,100
14953,cymer,cymer,100
14957,calpine,calpine,100
14988,nmt medical,nmt medical,100
15029,superior essex,superior essex,100
15041,transkaryotic therapies,transkaryotic therapies,100
15108,tuxis,tuxis,100
15125,cv therapeutics,cv therapeutics,100
15169,viasat,viasat,100
15202,quest diagnostics,quest diagnostics,100
15213,avax technologies,avax technologies,100
15268,appiant technologies,appiant technologies,100
15277,digital lightwave,digital lightwave,100
15279,ciena,ciena,100
15300,ilex oncology,ilex oncology,100
15335,kos pharmaceuticals,kos pharmaceuticals,100
15361,meade instruments,meade instruments,100
15445,rambus,rambus,100
15447,amazoncom,amazoncom,100
15484,sarepta therapeutics,sarepta therapeutics,100
15662,omtool,omtool,100
15708,solutia,solutia,100
15718,elbit systems,elbit systems,100
15793,trimeris,trimeris,100
15912,icon health & fitness,icon health & fitness,100
16005,power integrations,power integrations,100
16006,spectra-physics,spectra-physics,100
16038,advanced optics electronics,advanced optics electronics,100
16095,steelcase,steelcase,100
16161,zap,zap,100
16212,surmodics,surmodics,100
16262,inovio pharmaceuticals,inovio pharmaceuticals,100
16264,comcast cable communications,comcast cable communications,100
16285,sanyo electric,sanyo electric,100
16294,advantest,advantest,100
16299,eisai,eisai,100
16314,volkswagen ag,volkswagen ag,100
16328,sanofi,sanofi,100
16333,novartis ag,novartis ag,100
16335,alcatel-lucent,alcatel-lucent,100
16338,saes getters spa,saes getters spa,100
16361,sap se,sap se,100
16425,micromem technologies,micromem technologies,100
16450,birch mountain resources,birch mountain resources,100
17228,com21,com21,100
17252,marinemax,marinemax,100
17330,king pharmaceuticals,king pharmaceuticals,100
17333,rhodia,rhodia,100
17340,mips technologies,mips technologies,100
17395,one voice technologies,one voice technologies,100
17397,natrol,natrol,100
17400,dyax,dyax,100
17505,conoco,conoco,100
17534,emagin,emagin,100
17604,cell pathways,cell pathways,100
17652,conexant systems,conexant systems,100
17716,orthovita,orthovita,100
17784,bottomline technologies,bottomline technologies,100
17845,varian,varian,100
17849,mks instruments,mks instruments,100
17898,hearme,hearme,100
17919,sierra wireless,sierra wireless,100
18030,stampscom,stampscom,100
18031,cross media marketing,cross media marketing,100
18035,juniper networks,juniper networks,100
18072,tibco software,tibco software,100
18109,biomarin pharmaceutical,biomarin pharmaceutical,100
18122,net2phone,net2phone,100
18127,lennox international,lennox international,100
18179,polarityte,polarityte,100
18227,rev,rev,100
18265,omnova solutions,omnova solutions,100
18301,silicon image,silicon image,100
18328,vascular solutions,vascular solutions,100
18367,intertrust technologies,intertrust technologies,100
18382,akamai technologies,akamai technologies,100
18448,immersion,immersion,100
18476,agilent technologies,agilent technologies,100
18482,symyx technologies,symyx technologies,100
18535,celera,celera,100
18540,geeknet,geeknet,100
18550,tularik,tularik,100
18554,ecollegecom,ecollegecom,100
18558,caliper life sciences,caliper life sciences,100
18566,maxygen,maxygen,100
18649,learncom,learncom,100
18667,agenus,agenus,100
18747,switchboard,switchboard,100
18752,utstarcom,utstarcom,100
18771,infineon technologies ag,infineon technologies ag,100
18792,aclara biosciences,aclara biosciences,100
18795,grant prideco,grant prideco,100
18799,intermune,intermune,100
18805,silicon laboratories,silicon laboratories,100
18812,ardea biosciences,ardea biosciences,100
18815,edwards lifesciences,edwards lifesciences,100
18825,rigel pharmaceuticals,rigel pharmaceuticals,100
18831,conversant,conversant,100
18832,camtek,camtek,100
18841,oratec interventions,oratec interventions,100
18855,lexicon pharmaceuticals,lexicon pharmaceuticals,100
18884,stec,stec,100
18900,bsi2000,bsi2000,100
18903,on semiconductor,on semiconductor,100
18952,nrg energy,nrg energy,100
18988,intuitive surgical,intuitive surgical,100
19042,stratos international,stratos international,100
19054,exfo,exfo,100
19071,entegris,entegris,100
19077,axcelis technologies,axcelis technologies,100
19090,omnivision technologies,omnivision technologies,100
19116,arena pharmaceuticals,arena pharmaceuticals,100
19123,rita medical systems,rita medical systems,100
19129,illumina,illumina,100
19146,genaissance pharmaceuticals,genaissance pharmaceuticals,100
19155,deltagen,deltagen,100
19157,inspire pharmaceuticals,inspire pharmaceuticals,100
19207,integrated telecom express,integrated telecom express,100
19234,avaya,avaya,100
19249,delcath systems,delcath systems,100
19318,kosan biosciences,kosan biosciences,100
19358,monsanto,monsanto,100
19411,array biopharma,array biopharma,100
19427,mosys,mosys,100
19434,sybron dental specialties,sybron dental specialties,100
19450,align technology,align technology,100
19452,cascade microtech,cascade microtech,100
19458,seagen,seagen,100
19487,equistar chemicals,equistar chemicals,100
19492,agere systems,agere systems,100
19503,webtech wireless,webtech wireless,100
19592,fmc technologies,fmc technologies,100
19621,tellium,tellium,100
19700,axon enterprise,axon enterprise,100
19702,global energy group,global energy group,100
19720,rockwell collins,rockwell collins,100
19766,pdf solutions,pdf solutions,100
19803,agraquest,agraquest,100
19847,zymogenetics,zymogenetics,100
20007,great lakes carbon,great lakes carbon,100
20039,cutera,cutera,100
20080,verint systems,verint systems,100
20131,appleton papers,appleton papers,100
20207,idenix pharmaceuticals,idenix pharmaceuticals,100
20230,henry,henry,100
20235,huntsman international,huntsman international,100
20240,jackson products,jackson products,100
20248,koppers,koppers,100
20290,united industries,united industries,100
20304,formfactor,formfactor,100
20323,mega brands,mega brands,100
20362,advanced medical optics,advanced medical optics,100
20466,quick-med technologies,quick-med technologies,100
20558,seagate technology,seagate technology,100
20561,dade behring,dade behring,100
20640,converse,converse,100
20738,dts,dts,100
20783,mindspeed technologies,mindspeed technologies,100
21015,anadys pharmaceuticals,anadys pharmaceuticals,100
21053,freescale semiconductor,freescale semiconductor,100
21082,bioveris,bioveris,100
21120,sirf technology,sirf technology,100
21157,threshold pharmaceuticals,threshold pharmaceuticals,100
21165,mastercard,mastercard,100
21171,pharmacopeia,pharmacopeia,100
21176,leadis technology,leadis technology,100
21244,mpc,mpc,100
21273,synthesis energy systems,synthesis energy systems,100
21301,polypore international,polypore international,100
21320,lg display,lg display,100
21381,syneron medical,syneron medical,100
21481,conor medsystems,conor medsystems,100
21548,celanese,celanese,100
21572,dolby laboratories,dolby laboratories,100
21585,huntsman,huntsman,100
21656,verifone systems,verifone systems,100
21667,synta pharmaceuticals,synta pharmaceuticals,100
21669,xenoport,xenoport,100
21730,mobilesmith,mobilesmith,100
21732,rmx,rmx,100
21821,ev3,ev3,100
21834,spansion,spansion,100
21919,pepperball technologies,pepperball technologies,100
22038,irobot,irobot,100
22046,acco brands,acco brands,100
22076,genomic health,genomic health,100
22127,sunpower,sunpower,100
22128,under armour,under armour,100
22314,somaxon pharmaceuticals,somaxon pharmaceuticals,100
22400,novadaq technologies,novadaq technologies,100
22468,vonage,vonage,100
22472,biomimetic therapeutics,biomimetic therapeutics,100
22487,synchronoss technologies,synchronoss technologies,100
22502,verigy,verigy,100
22528,proofpoint,proofpoint,100
22568,millennial media,millennial media,100
22608,splunk,splunk,100
22712,endonovo therapeutics,endonovo therapeutics,100
22734,puma biotechnology,puma biotechnology,100
